;Id;Immobilisations incorporelles;Immobilisations corporelles;Actifs financiers non courants;Stocks et travaux en-cours;Créances clients et comptes rattachés;Trésorerie et équivalents de trésorerie;Total actif;Capitaux propres;Provisions pour risques et charges non courantes;Dettes financières non courantes;Dettes financières courantes;Fournisseurs et comptes rattaches;Total passif;Chiffre d'affaires;Produits des activités ordinaires;Résultat opérationnel;Coût de l'endettement financier net;Quote part resultats des Sociétés Mises en Equivalence;RN des activités abandonnées;Résultat net;total des passifs courants;Fonds de roulement;EBIT;sales;A;B;C;D;E;scoring;Approval;RAF1;RAF2;RFD;RLG;RLR;RFI;DPC;RCP;TRN
27;28;73780;14361;27965;66054;480491;214296;559300;355500;207330;28000;65526;137729;559300;274,5929939;138,8564412;935,0721659;73,124568;110,0413671;-252,6589502;593,8636326;203328,1246;695315;-207194,2634;274,5929939;1,243187913;0,001061798;-0,370452822;0,635615949;0,000490958;0,652678228;0;0,635615949;12,69642857;0,167219739;11,61128407;10,6032262;13,71357053;638687,8721;0,001670502;2,16270497
28;29;76413;13749;42001;380300;499377;265258;1033652;590641;201645;6100;90000;126403;1033652;186,1199457;137,7607578;881,2700548;72,25884056;106,7430833;-259,2144822;591,2778226;216475,2588;1054935;-201596,6408;186,1199457;1,020590102;0,000572028;-0,195033378;0,571411848;0,000180061;0,924925985;0;0,571411848;96,82639344;0,092971329;12,7215;8,495944444;14,20778077;979328,7029;0,001001078;3,176864363
29;30;53978;13419;138900;414900;47850;233809;1319232;633299;0;16727;15631;99500;1319232;132,2178144;137,1906275;786,238956;92,83381383;107,4477423;-234,2746977;738,1914792;115223,8338;680928;-4,972813096;132,2178144;0,516154854;0,000559562;-3,77E-06;0,480051272;0,000100223;0,908287758;0;0,480051272;37,8608836;0,024527907;44,56266394;18,01925661;4,679812815;132094,5297;0,001165629;5,583146892
30;31;309800;13179;534;494700;54099;188626;1398089;644118;484;35911;9546;32211;1398089;129,0601613;134,3159151;783,7318994;91,53358896;106,0226905;-235,8437382;696,6149318;41848,53359;727879;-489,2557538;129,0601613;0,520624223;0,000498262;-0,000349946;0,460713159;9,23E-05;0,900812021;0;0,460713159;17,9365097;0,032513667;77,24963335;25,42688037;1273,462547;152999,4601;0,001081502;5,397598492
31;32;30877;711400;643;541900;61549;157533;2352586;1703921;804;55299;14517;33363;2352586;35,68408625;136,6495967;994,56918;90,55883835;105,7409365;-257,2365762;671,5879848;47970,55884;746465;-904,9655105;35,68408625;0,317295521;0,000285468;-0,000384668;0,724275754;1,52E-05;0,814465495;0;0,724275754;30,81287184;0,02967628;52,42005924;15,09141007;2735,956454;629563,1291;0,000394143;18,8203778
32;33;36904;807300;919;22079;65082;198555;2366971;1638126;1214;391000;24304;40359;2366971;13,21705794;136,1008492;1044,237285;90,37742717;110,112496;-231,0108635;638,0392883;64753,37743;261412;-1336,883791;13,21705794;0,110441573;0,000269559;-0,000564808;0,69207692;5,58E-06;0,546295141;0;0,69207692;4,189580563;0,175458001;11,75592495;10,84747367;2207,971708;1797293,325;0,000389493;48,27392687
33;34;66188;894700;1447;12280;460100;265700;2392188;1608082;1306;446800;76900;37777;2392188;-6,56680973;135,2886652;1000,18563;73,72476115;110,2330516;-233,5423379;534,7104071;114750,7248;661180;-1447,855475;-6,56680973;0,27639132;0,000223524;-0,000605243;0,67222225;-2,75E-06;0,73331582;0;0,67222225;3,599109221;0,218920921;9,597919376;9,438231469;1420,098134;-25573529,14;0,000332514;-81,4262068
34;35;86237;939000;72000;12282;490000;8511;2169400;1456400;106700;153700;100200;161300;2169400;44,78590048;135,3722954;1082,223382;75,87147753;110,6684215;-259,6906983;589,6279759;261575,8715;410593;-106790,5864;44,78590048;0,189265696;0,000271793;-0,049225863;0,671337697;2,06E-05;0,467877261;0;0,671337697;9,475601822;0,117036969;5,097734531;4,975159681;22,3625;3993444,323;0,000404853;13,16548221
35;36;430700;100844;88000;17331;552100;16630;207442;125991;47100;352400;438600;176900;207442;297,4130384;130,5736859;684,9964977;74,31169084;105,0978593;-207,4208515;654,4144067;615574,3117;147461;-46933,16065;297,4130384;0,710854118;0,003154686;-0,226247147;0,607355309;0,001433717;0,47667282;0;0,607355309;0,357522701;3,813114027;1,33620839;1,296694026;5,436261364;677564,4439;0,005194136;2,200355472
36;37;507500;93817;57900;60896;597900;14213;223802;134603;62300;34581;128900;211900;223802;328,142655;132,2475891;771,8804532;73,19007193;109,934695;-234,1717278;620,4782253;340873,1901;544109;-62104,10493;328,142655;2,431207049;0,002772443;-0,277495755;0,601437878;0,001466219;2,367922833;1;0,601437878;3,892397559;0,730471578;5,221171451;4,748743212;2,922003454;665056,7876;0,004609691;1,890879518
37;38;508400;89809;65000;70747;8885;118147;291949;164349;64400;34361;307;207100;291949;326,7345032;132,7221004;831,0276739;100,1216029;110,8161141;-218,0778065;711,208988;207507,1216;197472;-64205,9876;326,7345032;0,67639211;0,002436073;-0,21992193;0,562937362;0,001119149;0,42822023;0;0,562937362;4,783009808;0,118746767;644,2312704;413,7850163;3,057076923;9925,566381;0,004327431;2,176718348
38;39;430700;84094;27320;72249;7451;312100;440709;282364;3383;32599;18116;6880;440709;327,2298044;133,1824693;868,2015085;99,3917348;110,2727322;-207,2530052;642,1514031;25095,39173;373684;-3188,952665;327,2298044;0,847915518;0,001457087;-0,00723596;0,640703957;0,000742508;1,380824757;0;0,640703957;8,66173809;0,115075934;21,62729079;17,63915875;11,52866032;8311,024739;0,002274197;1,96238666
39;40;4109;178862;28203;1170900;879;280100;2990000;1736700;3404;34259;60919;5424;2990000;-130,1927847;135,6382979;779,7950384;90,09308208;98,4423257;-262,8533279;724,9568928;66433,09308;1390960;-3669,831083;-130,1927847;0,465204013;0,00024246;-0,001227368;0,58083612;-4,35E-05;0,902992075;0;0,58083612;50,69324849;0,031832107;23,8329421;4,612337694;62,7932844;-2464,307072;0,000417434;-5,568333871
40;41;13232;194657;24389;1174000;1088;275000;3389600;2003300;2940;4793;11182;6592;3389600;-180,7906947;135,2065157;821,8000752;90,32200542;99,00856005;-267,4997946;718,4132199;17864,32201;1438906;-3255,99721;-180,7906947;0,424506136;0,000211946;-0,000960584;0,591013689;-5,33E-05;0,861089036;0;0,591013689;417,9636971;0,004712945;129,680558;24,69039528;82,33601214;-2196,573229;0,000358615;-3,973728965
41;42;16310;197751;32020;1358500;101821;389200;3781900;2254600;3350;4206;1786;5867;3781900;-246,4423518;134,4380311;793,7112078;945;97,53965906;-270,1896103;677,203354;8598;1847735;-3730,880383;-246,4423518;0,488573204;0,000179064;-0,00098651;0,596155372;-6,52E-05;0,940911113;0;0,596155372;536,043747;0,001584389;1035,566069;274,9277716;70,54359775;-150804,7003;0,000300365;-2,747917917
42;43;19981;3109200;3088;573051;102153;12529;3927800;2481300;117302;9772;3244;43269;3927800;-209,3249504;135,2037936;1445,156778;98,23276858;108,7680525;-303,4347813;485,958924;46611,23277;684489;-117646,5287;-209,3249504;0,174267783;0,000123723;-0,029952271;0,631727685;-5,33E-05;0,489435377;0;0,631727685;253,9193614;0,003313814;212,0015413;35,35203453;806,6943005;-178124,2271;0,000195849;-2,321552797
43;44;29107;2870600;2296;576498;104274;3536;211195;138425;109367;6981900;1033000;48616;211195;-549,2548825;123,7304656;-292,6013812;-120;85,82731566;-113,5989185;727,202829;1081496;-348692;-110039,9853;-549,2548825;-1,651042875;0,003443277;-0,521034993;0,655436918;-0,0026007;-3,305184889;0;0,655436918;0,019826265;37,95023556;0,662447241;0,104365924;3101,186847;-69293,89471;0,005253407;-1,323980636
44;45;26420;2812100;2414;627426;5111700;4373;185117;117806;109327;8220800;2040600;41430;185117;-779,9806628;116,2636492;-1061,402884;-201,4534172;77,23082837;-181,9177034;-222,8418924;2081828,547;3702899;-110223,2443;-779,9806628;20,00301971;-0,001203789;-0,595424755;0,636386718;-0,004213447;22,41465524;1;0,636386718;0,014330236;55,43197005;2,814612859;2,507141527;3454,269263;-2392072,764;-0,001891601;0,285701817
45;46;27068;0;10656100;627128;5127800;3565;175126;87697;0;9285000;2574200;5043600;175126;-1592,167961;9,98087029;-3410,018286;64,08513565;-200;-17;2214,2978;7617864,085;3184293;-1602,148831;-1592,167961;18,18286833;0,012644027;-0,009148549;0,500765163;-0,009091557;22,09832097;1;0,500765163;0,009445019;67,71810011;2,237002952;1,99338241;0,87956166;-1175533,641;0,025249413;-1,39074385
46;47;10290200;505035;7119100;73700;5229400;275009;185699;44461;1852500;535646;163112;4943100;185699;31,80077999;-87,48033189;-278,1613153;206,437685;155,4655658;2;-46,73897871;5106418,438;5414997;-1852380,719;31,80077999;29,16007625;-0,000251692;-9,975178751;0,239425091;0,000171249;2,217475559;1;0,239425091;0,083004447;3,762852789;34,19802957;33,7461928;0,081486002;60021515,22;-0,001051235;-1,469743155
47;48;10060500;502080;7371200;83900;294933;217248;1960252000;107209000;1817700;429959;229262;5087000;1960252000;-413807,0297;-1772,432923;-45409,58941;177,847101;-87;-5;-4904,542921;5316439,847;366819;-2229734,597;-413807,0297;0,000187128;-2,50E-06;-0,001137473;0,054691438;-0,000211099;0,029071153;0;0,054691438;249,3470308;0,000336294;2,599999128;2,234042275;14,60263716;-260,1467285;-4,57E-05;0,011852247
48;49;10613500;527613;47087;65200;277496;208444;2040836000;105726000;1599400;561783;126229;468276;2040836000;-430973,0152;-1777,115807;-46731,06309;-35,40015959;-1;6;-6850,133688;594469,5998;424911;-2028595,899;-430973,0152;0,000208204;-3,36E-06;-0,000994002;0,051805241;-0,000211175;0,027836908;0;0,051805241;188,1972221;0,000337123;4,366191604;3,849670044;2257,263852;-235,0171273;-6,48E-05;0,015894577
49;50;42887;607287;38731;51400;258945;3098700;2164713000;111845000;0;606022;137562;455175;2164713000;-457655,5708;-1712,152005;-50790,0661;-185,0147533;-189,5581792;-62,43827524;-6490,961983;592551,9852;3271483;-455943,4188;-457655,5708;0,001511278;-3,00E-06;-0,000210625;0,051667357;-0,000211416;0,03190327;0;0,051667357;184,5560062;0,000343502;24,78188017;24,40823047;2903,385454;-206,5197739;-5,80E-05;0,014183072
50;51;44394;2502900;41427;3037000;245642;4784900;2488491000;117349000;36595;1127500;531400;436858;2488491000;-527768,5556;-1976,317953;-60867,83856;-637;-400;-12,29451106;-7767,104343;967621;7536142;-562387,2377;-527768,5556;0,003028398;-3,12E-06;-0,000225995;0,047156691;-0,000212084;0,030965854;0;0,047156691;104,0789357;0,000666629;15,18167482;9,466582612;2859,886065;-169,8838043;-6,62E-05;0,014716876
51;52;57097;2437600;32305;3154000;448400;2943300;800403;517490;35593;218700;1531180;435077;800403;55,23048867;130,3830211;-153,1340087;-685;200;-69,46853368;106,5715653;1965572;5014520;-35668,15253;55,23048867;6,264994009;0,000133147;-0,044562742;0,646536807;6,90E-05;7,759113256;1;0,646536807;2,366209419;2,186248677;4,274938283;2,215089016;22,78873239;2963327,031;0,000205939;1,929578533
52;53;58478;1923300;199100;3239000;6732000;9212;767077;486043;35179;183800;1424900;101200;767077;-57,28487634;129,4597366;-324,595243;-662;75,40865664;-472,2677386;-521,4936267;1525438;8555312;-35365,74461;-57,28487634;11,15313326;-0,000679845;-0,046104556;0,633630001;-7,47E-05;13,61076641;1;0,633630001;2,644412405;2,0971819;7,004149063;4,731007088;3,364354596;-42894043,89;-0,001072937;9,103513178
53;54;17200;1638200;182300;2839000;8415000;23893;764283;505461;38805;44800;1449900;194200;764283;-53,09422001;130,9384851;-402,5815903;-910;-200;-506,9579907;-848,9921221;1643190;9827993;-38989,03271;-53,09422001;12,85910193;-0,001110835;-0,051013869;0,66135319;-6,95E-05;15,65776382;1;0,66135319;11,28261161;1,955689188;7,778393682;5,820327609;3,018436643;-57849517,32;-0,001679639;15,99029277
54;55;14000;6858000;40500;67100;8714000;16693;56344700;31857900;79900;5788000;945000;7349000;56344700;-9474,041948;68,76352019;-48,12063374;-267,5441781;89,46764778;-288,2562316;-222,9715655;8293732,456;7852793;-89442,80547;-9474,041948;0,139370571;-3,96E-06;-0,001587422;0,565410766;-0,000168144;0,501078968;0;0,565410766;5,504129233;0,119496599;9,309833862;9,238828571;929,5283951;-335718,3784;-7,00E-06;0,023534999
55;56;13200;7432000;563000;73000;8338000;6638;55429400;28203800;88900;5080000;1491000;7423000;55429400;-9647,118379;66,94127735;-442;34;28;-238,3373418;-80;8914034;6926638;-98614,05966;-9647,118379;0,124963251;-1,44E-06;-0,001779093;0,508823837;-0,000174043;0,449203132;0;0,508823837;5,551929134;0,118547197;5,645632461;5,596672032;59,11865009;-315469,333;-2,84E-06;0,008292632
56;57;11800;7502000;536000;79600;124400;263300;58169700;25942100;84400;5580000;1857000;11235000;58169700;-10788,50986;79,70412827;-2043,4686;-385;-45;173,1207754;2362,916133;13091615;-1389700;-95268,21398;-10788,50986;-0,023890445;4,06E-05;-0,001637764;0,445972732;-0,000185466;0,233381889;0;0,445972732;4,649121864;0,127850066;0,251642434;0,208777598;58,80988806;-4208,736944;9,11E-05;-0,219021548
57;58;2132000;7486000;487000;65600;133700;281500;2054987;606507;77500;6918000;1020000;11298000;2054987;-1807,451405;130,182592;-4385,105013;-373;93;277,6682393;2456,976871;12317627;-539200;-79437,634;-1807,451405;-0,262386088;0,001195617;-0,038656028;0,295139093;-0,000879544;-0,264550421;0;0,295139093;0,087670859;3,862798159;0,471372549;0,407058824;15,45073306;-26999,6194;0,004051028;-1,35935985
58;59;2198000;56800;529000;19900;133800;243600;2027109;646817;2085000;18800;22700;197900;2027109;78,24285964;96,22228355;2277,803061;140,5957479;98;-334,8738347;99,01563638;220740,5957;374600;-2085017,979;78,24285964;0,184795194;4,88E-05;-1,028567275;0,319083483;3,86E-05;-2,980960702;0;0,319083483;34,40515957;0,020472505;17,50220264;16,62555066;1,258255198;624171,972;0,000153081;1,265491022
59;60;2177000;57000;11000;19900;120300;217100;2111290;724972;2068000;54900;20600;209300;2111290;73,82744739;102,2995161;2244,976839;127,3765235;107,6220169;-344,0920919;61,42117158;230027,3765;336700;-2068028,472;73,82744739;0,15947596;2,91E-05;-0,979509434;0,343378693;3,50E-05;-2,834907067;0;0,343378693;13,20531876;0,035760128;17,34466019;16,37864078;70,89745455;594758,4747;8,47E-05;0,83195578
60;61;2694000;63000;12400;6690000;1363900;4820000;2172879;709868;2167000;48900;20700;219300;2172879;-288,1040005;92,74514157;369,2147734;92,93518984;51,22470383;-288,0795765;-1005,669276;240092,9352;12853200;-2167380,849;-288,1040005;5,915285665;-0,000462828;-0,997469647;0,326694676;-0,000132591;4,001929218;1;0,326694676;14,51672802;0,032031236;621,9275362;298,7391304;61,19096774;-1727929,842;-0,001416699;3,49064669
61;62;23500;62100;34900;6135000;1201700;2928000;3691100;1564300;2245000;41600;37800;372800;3691100;-627,458316;133,8953414;777,2571943;46,99182826;54,26869578;-488,8248353;-285,348761;410646,9918;10226900;-2245761,354;-627,458316;2,770691664;-7,73E-05;-0,608426039;0,423803202;-0,000169992;1,571027766;0;0,423803202;37,60336538;0,021511203;271,5529101;109,2513228;46,01432665;-699043,2493;-0,000182413;0,454769271
62;63;18900;486300;32800;5867000;1480400;3574000;3559800;1255500;135000;2240000;209000;390000;3559800;-892,9226157;131,9644951;-1180,480326;14,28612069;55,8111678;-200,8956756;-29,24046701;599014,2861;10712400;-136024,8871;-892,9226157;3,009270184;-8,21E-06;-0,038211385;0,352688353;-0,000250835;3,696377328;1;0,352688353;0,560491071;0,687959998;52,25550239;24,18373206;106,570122;-605143,1451;-2,33E-05;0,032746922
63;64;11200;471100;119700;5326000;232100;4224000;2742400;643600;123700;2655700;499000;638500;2742400;-804,0065442;130,8324033;-1311,993448;80,62050971;54,49972585;-63,77388784;144,3973411;1137580,621;9283100;-124634,8389;-804,0065442;3,385027713;5,27E-05;-0,04544736;0,234684947;-0,000293176;4,052648476;1;0,234684947;0,242346651;1,150342765;19,60340681;8,93006012;27,56307435;-105367,9234;0,000224359;-0,179597221
64;65;8700;444900;109800;3815000;145000;282200;2359200;201000;115700;3244500;461600;194900;2359200;-757,2374468;130,3903436;-673,0087061;43,05913979;66,68091696;-279,8918578;923,1643019;656543,0591;3780600;-116587,6278;-757,2374468;1,60249237;0,000391304;-0,049418289;0,085198372;-0,000320972;1,811256367;1;0,085198372;0,061950994;1,570913869;9,190207972;0,925476603;31,37978142;-69892,21178;0,004592857;-1,219121302
